objectid,object_location,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template
001,/objects/garcia_photo_2_0448r.jpg,El edificio de la Asociación Cristiana de Jovenes,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-10,Asociación Cristiana de Jóvenes (Inauguraciones),Arquitectura;Inauguraciones;Iglesia Católica;Juventud,"Ciudad de México, México",19.432934,-99.148595,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",448,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
002,/objects/garcia_photo_1_0246r.jpg,[La vanguardia del desfile de carros alegóricos del comercio],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",246,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
003,/objects/garcia_photo_1_0248r.jpg,La vanguardia del desfile de carros alegóricos del comercio,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",248,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
004,/objects/garcia_photo_1_0249r.jpg,[La vanguardia del desfile de carros alegóricos del comercio],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",249,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
005,/objects/garcia_photo_2_0257r.jpg,El carro alegórico de la Agricultura,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",19.471922,-99.195622,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",257,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
006,/objects/garcia_photo_2_0261r.jpg,[El carro alegórico de la Agricultura],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Mujeres;Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",261,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
007,/objects/garcia_photo_2_0269r.jpg,El carro alegórico de la Cervecería de Toluca y México,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Cerveceros;Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",269,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
008,/objects/garcia_photo_2_0281r.jpg,"El carro alegórico de ""El Palacio de Hierro""","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",281,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
009,/objects/garcia_photo_2_0283r.jpg,"[El carro alegórico de ""El Palacio de Hierro""]","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",283,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
010,/objects/garcia_photo_1_0215r.jpg,[Flecheros mexicanos],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",215,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
011,/objects/garcia_photo_1_0216r.jpg,Guerreros mexicanos,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",216,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
012,/objects/garcia_photo_1_0217r.jpg,Caballeros-Tigres,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",217,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
013,/objects/garcia_photo_1_0223r.jpg,Doña Marina y sus acompañantes,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Mujeres;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",223,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
014,/objects/garcia_photo_1_0230r.jpg,"El Oidor decano, el Virrey y el Alférez Real","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",230,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
015,/objects/garcia_photo_1_0237r.jpg,Carro alegórico del Estado de Michoacán,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",237,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
016,/objects/garcia_photo_2_0389r.jpg,Calles del 5 de Febrero (Norte a Sur),"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.432445,-99.131193,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",389,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
017,/objects/garcia_photo_2_0390r.jpg,[Avenida del 5 de Mayo],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.36533,-99.204539,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",390,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
018,/objects/garcia_photo_2_0392r.jpg,[Avenida del 5 de Mayo],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.36533,-99.204539,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",392,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
019,/objects/garcia_photo_2_0393r.jpg,Avenida de San Francisco (Ponientea Oriente),"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.371727,-99.1759,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",393,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
020,/objects/garcia_photo_2_0394r.jpg,Avenida de San Francisco (Ponientea Oriente),"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.371727,-99.1759,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",394,Fotografía,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/,image
